Имя,Цена
ADANIPORTS,1335.00
APOLLOHOSP,6240.00
TATACONSUM,1227.45
EICHERMOT,3804.40
CIPLA,1512.00
TATASTEEL,154.20
TECHM,1295.00
UPL,478.70
HDFCBANK,1434.00
LTIM,5143.00
ULTRACEMCO,9728.95
TITAN,3762.00
KOTAKBANK,1734.90
BHARTIARTL,1200.00
ASIANPAINT,2880.00
BPCL,627.00
SBILIFE,1533.00
MARUTI,11400.00
NTPC,348.00
DRREDDY,6388.15
ADANIENT,3207.35
TCS,4122.35
ONGC,274.00
RELIANCE,2933.20
COALINDIA,453.90
INDUSINDBK,1541.05
AXISBANK,1105.00
TATAMOTORS,1027.80
BRITANNIA,4935.70
GRASIM,2236.00
INFY,1600.00
LT,3639.05
SUNPHARMA,1592.20
JSWSTEEL,829.00
HINDALCO,533.10
HEROMOTOCO,4666.30
M&M,1892.00
DIVISLAB,3600.00
ICICIBANK,1077.05
HCLTECH,1635.90
NESTLEIND,2606.05
POWERGRID,284.90
BAJAJ-AUTO,8636.95
WIPRO,512.75
HINDUNILVR,2380.00
HDFCLIFE,618.25
BAJFINANCE,6405.00
SBIN,770.00
BAJAJFINSV,1590.10
ITC,406.50
